definition,definition_source,distinct_nonmissing_values,field,interpretation_caution,literal_header,missing_rows,nonmissing_rows,observed_storage_type,source_path,source_sha256,study_ID,table_id,units
Study-specific antibody measurement or derived column; preserve the literal antigen/visit label.,Observed file header; biological definition not supplied in common metadata dictionary,5,IgG_D2,"Assay, units, dilution limits and suffix interpretation require the original study; do not parse a numeric suffix as a universal day.",IgG_D2,0,5,numeric_text,data_dictionary/sources/hr_vilage/antibody/GSE45735_antibody.csv,6066e1ad3a5c9884b3d5579a10be2615a4c6f4d0bf5aae9755e368e20efa1edb,GSE45735,HF:antibody/GSE45735_antibody.csv,not inferred; use source-specific assay/time documentation
Study-specific antibody measurement or derived column; preserve the literal antigen/visit label.,Observed file header; biological definition not supplied in common metadata dictionary,5,IgM_D2,"Assay, units, dilution limits and suffix interpretation require the original study; do not parse a numeric suffix as a universal day.",IgM_D2,0,5,numeric_text,data_dictionary/sources/hr_vilage/antibody/GSE45735_antibody.csv,6066e1ad3a5c9884b3d5579a10be2615a4c6f4d0bf5aae9755e368e20efa1edb,GSE45735,HF:antibody/GSE45735_antibody.csv,not inferred; use source-specific assay/time documentation
Study-specific antibody measurement or derived column; preserve the literal antigen/visit label.,Observed file header; biological definition not supplied in common metadata dictionary,5,IgA_D3,"Assay, units, dilution limits and suffix interpretation require the original study; do not parse a numeric suffix as a universal day.",IgA_D3,0,5,numeric_text,data_dictionary/sources/hr_vilage/antibody/GSE45735_antibody.csv,6066e1ad3a5c9884b3d5579a10be2615a4c6f4d0bf5aae9755e368e20efa1edb,GSE45735,HF:antibody/GSE45735_antibody.csv,not inferred; use source-specific assay/time documentation
Study-specific antibody measurement or derived column; preserve the literal antigen/visit label.,Observed file header; biological definition not supplied in common metadata dictionary,5,IgG_D3,"Assay, units, dilution limits and suffix interpretation require the original study; do not parse a numeric suffix as a universal day.",IgG_D3,0,5,numeric_text,data_dictionary/sources/hr_vilage/antibody/GSE45735_antibody.csv,6066e1ad3a5c9884b3d5579a10be2615a4c6f4d0bf5aae9755e368e20efa1edb,GSE45735,HF:antibody/GSE45735_antibody.csv,not inferred; use source-specific assay/time documentation
Study-specific antibody measurement or derived column; preserve the literal antigen/visit label.,Observed file header; biological definition not supplied in common metadata dictionary,5,IgM_D3,"Assay, units, dilution limits and suffix interpretation require the original study; do not parse a numeric suffix as a universal day.",IgM_D3,0,5,numeric_text,data_dictionary/sources/hr_vilage/antibody/GSE45735_antibody.csv,6066e1ad3a5c9884b3d5579a10be2615a4c6f4d0bf5aae9755e368e20efa1edb,GSE45735,HF:antibody/GSE45735_antibody.csv,not inferred; use source-specific assay/time documentation
Study-specific antibody measurement or derived column; preserve the literal antigen/visit label.,Observed file header; biological definition not supplied in common metadata dictionary,5,IgA_D4,"Assay, units, dilution limits and suffix interpretation require the original study; do not parse a numeric suffix as a universal day.",IgA_D4,0,5,numeric_text,data_dictionary/sources/hr_vilage/antibody/GSE45735_antibody.csv,6066e1ad3a5c9884b3d5579a10be2615a4c6f4d0bf5aae9755e368e20efa1edb,GSE45735,HF:antibody/GSE45735_antibody.csv,not inferred; use source-specific assay/time documentation
Study-specific antibody measurement or derived column; preserve the literal antigen/visit label.,Observed file header; biological definition not supplied in common metadata dictionary,5,IgG_D4,"Assay, units, dilution limits and suffix interpretation require the original study; do not parse a numeric suffix as a universal day.",IgG_D4,0,5,numeric_text,data_dictionary/sources/hr_vilage/antibody/GSE45735_antibody.csv,6066e1ad3a5c9884b3d5579a10be2615a4c6f4d0bf5aae9755e368e20efa1edb,GSE45735,HF:antibody/GSE45735_antibody.csv,not inferred; use source-specific assay/time documentation
Study-specific antibody measurement or derived column; preserve the literal antigen/visit label.,Observed file header; biological definition not supplied in common metadata dictionary,5,IgM_D4,"Assay, units, dilution limits and suffix interpretation require the original study; do not parse a numeric suffix as a universal day.",IgM_D4,0,5,numeric_text,data_dictionary/sources/hr_vilage/antibody/GSE45735_antibody.csv,6066e1ad3a5c9884b3d5579a10be2615a4c6f4d0bf5aae9755e368e20efa1edb,GSE45735,HF:antibody/GSE45735_antibody.csv,not inferred; use source-specific assay/time documentation
Study-specific antibody measurement or derived column; preserve the literal antigen/visit label.,Observed file header; biological definition not supplied in common metadata dictionary,5,IgA_D5,"Assay, units, dilution limits and suffix interpretation require the original study; do not parse a numeric suffix as a universal day.",IgA_D5,0,5,numeric_text,data_dictionary/sources/hr_vilage/antibody/GSE45735_antibody.csv,6066e1ad3a5c9884b3d5579a10be2615a4c6f4d0bf5aae9755e368e20efa1edb,GSE45735,HF:antibody/GSE45735_antibody.csv,not inferred; use source-specific assay/time documentation
Study-specific antibody measurement or derived column; preserve the literal antigen/visit label.,Observed file header; biological definition not supplied in common metadata dictionary,5,IgG_D5,"Assay, units, dilution limits and suffix interpretation require the original study; do not parse a numeric suffix as a universal day.",IgG_D5,0,5,numeric_text,data_dictionary/sources/hr_vilage/antibody/GSE45735_antibody.csv,6066e1ad3a5c9884b3d5579a10be2615a4c6f4d0bf5aae9755e368e20efa1edb,GSE45735,HF:antibody/GSE45735_antibody.csv,not inferred; use source-specific assay/time documentation
Study-specific antibody measurement or derived column; preserve the literal antigen/visit label.,Observed file header; biological definition not supplied in common metadata dictionary,5,IgM_D5,"Assay, units, dilution limits and suffix interpretation require the original study; do not parse a numeric suffix as a universal day.",IgM_D5,0,5,numeric_text,data_dictionary/sources/hr_vilage/antibody/GSE45735_antibody.csv,6066e1ad3a5c9884b3d5579a10be2615a4c6f4d0bf5aae9755e368e20efa1edb,GSE45735,HF:antibody/GSE45735_antibody.csv,not inferred; use source-specific assay/time documentation
Study-specific antibody measurement or derived column; preserve the literal antigen/visit label.,Observed file header; biological definition not supplied in common metadata dictionary,5,IgA_D6,"Assay, units, dilution limits and suffix interpretation require the original study; do not parse a numeric suffix as a universal day.",IgA_D6,0,5,numeric_text,data_dictionary/sources/hr_vilage/antibody/GSE45735_antibody.csv,6066e1ad3a5c9884b3d5579a10be2615a4c6f4d0bf5aae9755e368e20efa1edb,GSE45735,HF:antibody/GSE45735_antibody.csv,not inferred; use source-specific assay/time documentation
Study-specific antibody measurement or derived column; preserve the literal antigen/visit label.,Observed file header; biological definition not supplied in common metadata dictionary,5,IgG_D6,"Assay, units, dilution limits and suffix interpretation require the original study; do not parse a numeric suffix as a universal day.",IgG_D6,0,5,numeric_text,data_dictionary/sources/hr_vilage/antibody/GSE45735_antibody.csv,6066e1ad3a5c9884b3d5579a10be2615a4c6f4d0bf5aae9755e368e20efa1edb,GSE45735,HF:antibody/GSE45735_antibody.csv,not inferred; use source-specific assay/time documentation
Study-specific antibody measurement or derived column; preserve the literal antigen/visit label.,Observed file header; biological definition not supplied in common metadata dictionary,5,IgM_D6,"Assay, units, dilution limits and suffix interpretation require the original study; do not parse a numeric suffix as a universal day.",IgM_D6,0,5,numeric_text,data_dictionary/sources/hr_vilage/antibody/GSE45735_antibody.csv,6066e1ad3a5c9884b3d5579a10be2615a4c6f4d0bf5aae9755e368e20efa1edb,GSE45735,HF:antibody/GSE45735_antibody.csv,not inferred; use source-specific assay/time documentation
Study-specific antibody measurement or derived column; preserve the literal antigen/visit label.,Observed file header; biological definition not supplied in common metadata dictionary,5,IgA_D7,"Assay, units, dilution limits and suffix interpretation require the original study; do not parse a numeric suffix as a universal day.",IgA_D7,0,5,numeric_text,data_dictionary/sources/hr_vilage/antibody/GSE45735_antibody.csv,6066e1ad3a5c9884b3d5579a10be2615a4c6f4d0bf5aae9755e368e20efa1edb,GSE45735,HF:antibody/GSE45735_antibody.csv,not inferred; use source-specific assay/time documentation
Study-specific antibody measurement or derived column; preserve the literal antigen/visit label.,Observed file header; biological definition not supplied in common metadata dictionary,5,IgG_D7,"Assay, units, dilution limits and suffix interpretation require the original study; do not parse a numeric suffix as a universal day.",IgG_D7,0,5,numeric_text,data_dictionary/sources/hr_vilage/antibody/GSE45735_antibody.csv,6066e1ad3a5c9884b3d5579a10be2615a4c6f4d0bf5aae9755e368e20efa1edb,GSE45735,HF:antibody/GSE45735_antibody.csv,not inferred; use source-specific assay/time documentation
Study-specific antibody measurement or derived column; preserve the literal antigen/visit label.,Observed file header; biological definition not supplied in common metadata dictionary,5,IgM_D7,"Assay, units, dilution limits and suffix interpretation require the original study; do not parse a numeric suffix as a universal day.",IgM_D7,0,5,numeric_text,data_dictionary/sources/hr_vilage/antibody/GSE45735_antibody.csv,6066e1ad3a5c9884b3d5579a10be2615a4c6f4d0bf5aae9755e368e20efa1edb,GSE45735,HF:antibody/GSE45735_antibody.csv,not inferred; use source-specific assay/time documentation
Study-specific antibody measurement or derived column; preserve the literal antigen/visit label.,Observed file header; biological definition not supplied in common metadata dictionary,5,IgA_D8,"Assay, units, dilution limits and suffix interpretation require the original study; do not parse a numeric suffix as a universal day.",IgA_D8,0,5,numeric_text,data_dictionary/sources/hr_vilage/antibody/GSE45735_antibody.csv,6066e1ad3a5c9884b3d5579a10be2615a4c6f4d0bf5aae9755e368e20efa1edb,GSE45735,HF:antibody/GSE45735_antibody.csv,not inferred; use source-specific assay/time documentation
Study-specific antibody measurement or derived column; preserve the literal antigen/visit label.,Observed file header; biological definition not supplied in common metadata dictionary,5,IgG_D8,"Assay, units, dilution limits and suffix interpretation require the original study; do not parse a numeric suffix as a universal day.",IgG_D8,0,5,numeric_text,data_dictionary/sources/hr_vilage/antibody/GSE45735_antibody.csv,6066e1ad3a5c9884b3d5579a10be2615a4c6f4d0bf5aae9755e368e20efa1edb,GSE45735,HF:antibody/GSE45735_antibody.csv,not inferred; use source-specific assay/time documentation
Study-specific antibody measurement or derived column; preserve the literal antigen/visit label.,Observed file header; biological definition not supplied in common metadata dictionary,5,IgM_D8,"Assay, units, dilution limits and suffix interpretation require the original study; do not parse a numeric suffix as a universal day.",IgM_D8,0,5,numeric_text,data_dictionary/sources/hr_vilage/antibody/GSE45735_antibody.csv,6066e1ad3a5c9884b3d5579a10be2615a4c6f4d0bf5aae9755e368e20efa1edb,GSE45735,HF:antibody/GSE45735_antibody.csv,not inferred; use source-specific assay/time documentation
Study-specific antibody measurement or derived column; preserve the literal antigen/visit label.,Observed file header; biological definition not supplied in common metadata dictionary,5,IgA_D9,"Assay, units, dilution limits and suffix interpretation require the original study; do not parse a numeric suffix as a universal day.",IgA_D9,0,5,numeric_text,data_dictionary/sources/hr_vilage/antibody/GSE45735_antibody.csv,6066e1ad3a5c9884b3d5579a10be2615a4c6f4d0bf5aae9755e368e20efa1edb,GSE45735,HF:antibody/GSE45735_antibody.csv,not inferred; use source-specific assay/time documentation
Study-specific antibody measurement or derived column; preserve the literal antigen/visit label.,Observed file header; biological definition not supplied in common metadata dictionary,5,IgG_D9,"Assay, units, dilution limits and suffix interpretation require the original study; do not parse a numeric suffix as a universal day.",IgG_D9,0,5,numeric_text,data_dictionary/sources/hr_vilage/antibody/GSE45735_antibody.csv,6066e1ad3a5c9884b3d5579a10be2615a4c6f4d0bf5aae9755e368e20efa1edb,GSE45735,HF:antibody/GSE45735_antibody.csv,not inferred; use source-specific assay/time documentation
Study-specific antibody measurement or derived column; preserve the literal antigen/visit label.,Observed file header; biological definition not supplied in common metadata dictionary,5,IgM_D9,"Assay, units, dilution limits and suffix interpretation require the original study; do not parse a numeric suffix as a universal day.",IgM_D9,0,5,numeric_text,data_dictionary/sources/hr_vilage/antibody/GSE45735_antibody.csv,6066e1ad3a5c9884b3d5579a10be2615a4c6f4d0bf5aae9755e368e20efa1edb,GSE45735,HF:antibody/GSE45735_antibody.csv,not inferred; use source-specific assay/time documentation
